complaint_text,complainant,accused
Complaint submitted by Advocate Rakesh Kumar alleging harassment by Traffic Police Officer.,Advocate Rakesh Kumar,Traffic Police Officer
Smt. Sunita Gupta has accused Zonal Commissioner of unlawful conduct.,Smt. Sunita Gupta,Zonal Commissioner
Shri Rajesh Jain has accused Zonal Commissioner of unlawful conduct.,Shri Rajesh Jain,Zonal Commissioner
Suo-Motu cognizance with regard to Political Party Worker allegedly harassing Smt. Rekha Singh during coverage of an event.,Smt. Rekha Singh,Political Party Worker
Suo-Motu cognizance in the case of Traffic Police Officer allegedly threatening Ms. Priya Sharma.,Ms. Priya Sharma,Traffic Police Officer
Mr. Arvind Yadav filed a report against Police Constable citing threats and intimidation.,Mr. Arvind Yadav,Police Constable
A complaint has been registered by National Human Rights Commission against Block Development Officer for misconduct.,National Human Rights Commission,Block Development Officer
"According to Ms. Neha Dubey, Tehsildar obstructed journalistic activities.",Ms. Neha Dubey,Tehsildar
Complaint filed by National Human Rights Commission against Police Constable for abuse of power.,National Human Rights Commission,Police Constable
Suo-Motu cognizance with regard to District Magistrate allegedly harassing Mr. Rahul Tiwari during coverage of an event.,Mr. Rahul Tiwari,District Magistrate
"According to Ms. Neha Dubey, Block Development Officer obstructed journalistic activities.",Ms. Neha Dubey,Block Development Officer
Formal complaint by Smt. Sunita Gupta accusing State Education Minister of corruption.,Smt. Sunita Gupta,State Education Minister
Suo-Motu cognizance with regard to Traffic Police Officer allegedly bribing Shri Rajesh Jain for media coverage.,Shri Rajesh Jain,Traffic Police Officer
Ms. Neha Dubey lodged a complaint against State Education Minister with the authorities.,Ms. Neha Dubey,State Education Minister
"According to Editor of The Daily News, Block Development Officer obstructed journalistic activities.",Editor of The Daily News,Block Development Officer
Suo-Motu cognizance in the case of Zonal Commissioner allegedly threatening Shri Rajesh Jain.,Shri Rajesh Jain,Zonal Commissioner
Mr. Arvind Yadav filed a report against Block Development Officer citing threats and intimidation.,Mr. Arvind Yadav,Block Development Officer
Mr. Rahul Tiwari filed a report against State Education Minister citing threats and intimidation.,Mr. Rahul Tiwari,State Education Minister
Ms. Priya Sharma has accused Traffic Police Officer of unlawful conduct.,Ms. Priya Sharma,Traffic Police Officer
Complaint submitted by Mr. Rahul Tiwari alleging harassment by Government Official.,Mr. Rahul Tiwari,Government Official
Formal complaint by Press Club of India accusing Ranchi SP of corruption.,Press Club of India,Ranchi SP
"According to Ms. Neha Dubey, Zonal Commissioner obstructed journalistic activities.",Ms. Neha Dubey,Zonal Commissioner
Formal complaint by Media Council of India accusing Rajkot Collector of corruption.,Media Council of India,Rajkot Collector
A complaint has been registered by Mr. Rahul Tiwari against Government Official for misconduct.,Mr. Rahul Tiwari,Government Official
Ms. Priya Sharma raised concerns regarding behaviour of Political Party Worker.,Ms. Priya Sharma,Political Party Worker
Shri Aman Verma raised concerns regarding behaviour of State Education Minister.,Shri Aman Verma,State Education Minister
Complaint submitted by Advocate Rakesh Kumar alleging harassment by Media House Owner.,Advocate Rakesh Kumar,Media House Owner
Complaint submitted by Ms. Priya Sharma alleging harassment by Political Party Worker.,Ms. Priya Sharma,Political Party Worker
Formal complaint by Advocate Rakesh Kumar accusing Local MLA of corruption.,Advocate Rakesh Kumar,Local MLA
Formal complaint by Press Club of India accusing Zonal Commissioner of corruption.,Press Club of India,Zonal Commissioner
Press Club of India has accused Media House Owner of unlawful conduct.,Press Club of India,Media House Owner
Suo-Motu cognizance regarding misconduct by Media House Owner involving Ms. Priya Sharma.,Ms. Priya Sharma,Media House Owner
Suo-Motu cognizance with regard to Rajkot Collector allegedly harassing Mr. Rahul Tiwari during coverage of an event.,Mr. Rahul Tiwari,Rajkot Collector
Suo-Motu cognizance with regard to an incident involving Government Official and Ms. Neha Dubey.,Ms. Neha Dubey,Government Official
Formal complaint by Ms. Neha Dubey accusing Police Constable of corruption.,Ms. Neha Dubey,Police Constable
"According to Editor of The Daily News, Rajkot Collector obstructed journalistic activities.",Editor of The Daily News,Rajkot Collector
Complaint filed by Ms. Priya Sharma against Inspector General for abuse of power.,Ms. Priya Sharma,Inspector General
"According to Journalists Association of Delhi, Police Constable obstructed journalistic activities.",Journalists Association of Delhi,Police Constable
Mr. Arvind Yadav filed a report against Media House Owner citing threats and intimidation.,Mr. Arvind Yadav,Media House Owner
Suo-Motu cognizance in the case of District Magistrate allegedly threatening Ms. Neha Dubey.,Ms. Neha Dubey,District Magistrate
Complaint submitted by Ms. Priya Sharma alleging harassment by State Education Minister.,Ms. Priya Sharma,State Education Minister
Media Council of India lodged a complaint against Political Party Worker with the authorities.,Media Council of India,Political Party Worker
Suo-Motu cognizance with regard to Block Development Officer allegedly attacking Smt. Sunita Gupta.,Smt. Sunita Gupta,Block Development Officer
Complaint filed by National Human Rights Commission against Delhi Police for abuse of power.,National Human Rights Commission,Delhi Police
Complaint submitted by Shri Aman Verma alleging harassment by Local MLA.,Shri Aman Verma,Local MLA
"According to Journalists Association of Delhi, Media House Owner obstructed journalistic activities.",Journalists Association of Delhi,Media House Owner
National Human Rights Commission has accused Traffic Police Officer of unlawful conduct.,National Human Rights Commission,Traffic Police Officer
Complaint submitted by Journalists Association of Delhi alleging harassment by Zonal Commissioner.,Journalists Association of Delhi,Zonal Commissioner
Mr. Arvind Yadav filed a report against Media House Owner citing threats and intimidation.,Mr. Arvind Yadav,Media House Owner
Smt. Rekha Singh has accused Tehsildar of unlawful conduct.,Smt. Rekha Singh,Tehsildar
Advocate Rakesh Kumar raised concerns regarding behaviour of Government Official.,Advocate Rakesh Kumar,Government Official
Shri Aman Verma has accused Ranchi SP of unlawful conduct.,Shri Aman Verma,Ranchi SP
Mr. Rahul Tiwari raised concerns regarding behaviour of Block Development Officer.,Mr. Rahul Tiwari,Block Development Officer
Complaint filed by Ms. Neha Dubey against District Magistrate for abuse of power.,Ms. Neha Dubey,District Magistrate
Advocate Rakesh Kumar raised concerns regarding behaviour of Local MLA.,Advocate Rakesh Kumar,Local MLA
Suo-Motu cognizance of unlawful detention of National Human Rights Commission by Police Constable.,National Human Rights Commission,Police Constable
"According to Editor of The Daily News, District Magistrate obstructed journalistic activities.",Editor of The Daily News,District Magistrate
Formal complaint by Advocate Rakesh Kumar accusing Inspector General of corruption.,Advocate Rakesh Kumar,Inspector General
Press Club of India has accused Media House Owner of unlawful conduct.,Press Club of India,Media House Owner
Ms. Neha Dubey raised concerns regarding behaviour of Tehsildar.,Ms. Neha Dubey,Tehsildar
Complaint submitted by Press Club of India alleging harassment by Ranchi SP.,Press Club of India,Ranchi SP
Suo-Motu cognizance with regard to Traffic Police Officer allegedly attacking Editor of The Daily News.,Editor of The Daily News,Traffic Police Officer
Suo-Motu cognizance with regard to Local MLA allegedly attacking Shri Aman Verma.,Shri Aman Verma,Local MLA
Formal complaint by Editor of The Daily News accusing Police Constable of corruption.,Editor of The Daily News,Police Constable
Shri Aman Verma raised concerns regarding behaviour of Tehsildar.,Shri Aman Verma,Tehsildar
Shri Rajesh Jain filed a report against Government Official citing threats and intimidation.,Shri Rajesh Jain,Government Official
Complaint submitted by Ms. Neha Dubey alleging harassment by Local MLA.,Ms. Neha Dubey,Local MLA
A complaint has been registered by Smt. Rekha Singh against Delhi Police for misconduct.,Smt. Rekha Singh,Delhi Police
Complaint filed by Editor of The Daily News against Block Development Officer for abuse of power.,Editor of The Daily News,Block Development Officer
Mr. Arvind Yadav raised concerns regarding behaviour of Government Official.,Mr. Arvind Yadav,Government Official
Journalists Association of Delhi lodged a complaint against Block Development Officer with the authorities.,Journalists Association of Delhi,Block Development Officer
"According to National Human Rights Commission, Political Party Worker obstructed journalistic activities.",National Human Rights Commission,Political Party Worker
Suo-Motu cognizance with regard to an incident involving Block Development Officer and Press Club of India.,Press Club of India,Block Development Officer
Formal complaint by Smt. Rekha Singh accusing District Magistrate of corruption.,Smt. Rekha Singh,District Magistrate
Complaint filed by Ms. Neha Dubey against Delhi Police for abuse of power.,Ms. Neha Dubey,Delhi Police
Ms. Neha Dubey filed a report against Tehsildar citing threats and intimidation.,Ms. Neha Dubey,Tehsildar
Smt. Sunita Gupta has accused State Education Minister of unlawful conduct.,Smt. Sunita Gupta,State Education Minister
Journalists Association of Delhi lodged a complaint against Tehsildar with the authorities.,Journalists Association of Delhi,Tehsildar
A complaint has been registered by Press Club of India against Inspector General for misconduct.,Press Club of India,Inspector General
Complaint filed by National Human Rights Commission against Local MLA for abuse of power.,National Human Rights Commission,Local MLA
Suo-Motu cognizance with regard to Ranchi SP allegedly attacking Editor of The Daily News.,Editor of The Daily News,Ranchi SP
Suo-Motu cognizance with regard to an incident involving Inspector General and Editor of The Daily News.,Editor of The Daily News,Inspector General
Suo-Motu cognizance regarding misconduct by District Magistrate involving Editor of The Daily News.,Editor of The Daily News,District Magistrate
Journalists Association of Delhi filed a report against Inspector General citing threats and intimidation.,Journalists Association of Delhi,Inspector General
Formal complaint by Journalists Association of Delhi accusing Local MLA of corruption.,Journalists Association of Delhi,Local MLA
Ms. Priya Sharma has accused State Education Minister of unlawful conduct.,Ms. Priya Sharma,State Education Minister
